Mission_ID,Source_Base,Destination_Post,Transport_Mode,Departure_Time,Arrival_Time,Status,Delay_Reason,Critical_Supplies
MSHN_087,Kargil Base,Siachen Post 10,Robotic Mule,2025-04-01 13:00,2025-04-01 22:00,In-Progress,Avalanche,Yes
MSHN_088,Kargil Base,Siachen Post 3,Truck,2025-04-06 13:00,2025-04-07 17:00,Delayed,Snowfall,No
MSHN_089,Kargil Base,Siachen Post 6,Drone,2025-04-06 22:00,2025-04-08 04:00,Delayed,Snowfall,No
MSHN_090,Leh Base,Siachen Post 9,Truck,2025-04-08 11:00,2025-04-09 05:00,In-Progress,Snowfall,Yes
MSHN_091,Leh Base,Siachen Post 4,Truck,2025-04-01 10:00,2025-04-03 05:00,Completed,None,Yes
MSHN_092,Leh Base,Siachen Post 8,Robotic Mule,2025-04-03 10:00,2025-04-05 02:00,Completed,None,No
MSHN_093,Drass Base,Siachen Post 5,Drone,2025-04-04 13:00,2025-04-06 07:00,In-Progress,Technical,Yes
MSHN_094,Leh Base,Siachen Post 5,Truck,2025-04-13 08:00,2025-04-13 13:00,Delayed,Technical,No
MSHN_095,Kargil Base,Siachen Post 4,Truck,2025-04-06 04:00,2025-04-06 14:00,In-Progress,Avalanche,Yes
MSHN_096,Drass Base,Siachen Post 1,Drone,2025-04-12 08:00,2025-04-13 15:00,In-Progress,Avalanche,Yes
MSHN_097,Drass Base,Siachen Post 6,Truck,2025-04-09 23:00,2025-04-11 10:00,Completed,None,No
MSHN_098,Kargil Base,Siachen Post 8,Robotic Mule,2025-04-04 06:00,2025-04-05 13:00,Completed,None,No
MSHN_099,Drass Base,Siachen Post 9,Drone,2025-04-10 22:00,2025-04-12 05:00,In-Progress,Technical,No
MSHN_100,Kargil Base,Siachen Post 4,Truck,2025-04-06 22:00,2025-04-08 06:00,Completed,None,No
MSHN_101,Drass Base,Siachen Post 10,Robotic Mule,2025-04-09 02:00,2025-04-10 03:00,Completed,None,No
MSHN_102,Kargil Base,Siachen Post 3,Drone,2025-04-05 12:00,2025-04-06 14:00,Delayed,Avalanche,No
MSHN_103,Drass Base,Siachen Post 5,Robotic Mule,2025-04-01 05:00,2025-04-02 18:00,Completed,None,Yes
MSHN_104,Leh Base,Siachen Post 7,Drone,2025-04-12 20:00,2025-04-13 15:00,In-Progress,Avalanche,No
MSHN_105,Kargil Base,Siachen Post 1,Truck,2025-04-07 06:00,2025-04-08 00:00,Delayed,Technical,Yes
MSHN_106,Kargil Base,Siachen Post 10,Drone,2025-04-11 02:00,2025-04-12 17:00,In-Progress,Avalanche,No
MSHN_107,Drass Base,Siachen Post 9,Drone,2025-04-08 12:00,2025-04-10 12:00,Delayed,Avalanche,No
MSHN_108,Kargil Base,Siachen Post 4,Truck,2025-04-05 02:00,2025-04-06 02:00,Completed,None,Yes
MSHN_109,Leh Base,Siachen Post 4,Robotic Mule,2025-04-11 07:00,2025-04-12 04:00,In-Progress,Technical,No
MSHN_110,Leh Base,Siachen Post 4,Drone,2025-04-05 20:00,2025-04-06 23:00,Completed,None,No
MSHN_111,Leh Base,Siachen Post 9,Truck,2025-04-06 20:00,2025-04-07 02:00,Completed,None,No
MSHN_112,Drass Base,Siachen Post 3,Robotic Mule,2025-04-11 11:00,2025-04-11 21:00,Completed,None,No
MSHN_113,Kargil Base,Siachen Post 8,Drone,2025-04-08 06:00,2025-04-08 21:00,Completed,None,No
MSHN_114,Kargil Base,Siachen Post 2,Truck,2025-04-09 13:00,2025-04-11 00:00,Completed,None,Yes
MSHN_115,Leh Base,Siachen Post 3,Robotic Mule,2025-04-07 11:00,2025-04-07 20:00,Completed,None,Yes
MSHN_116,Drass Base,Siachen Post 7,Robotic Mule,2025-04-05 19:00,2025-04-07 08:00,Delayed,Avalanche,No
MSHN_117,Kargil Base,Siachen Post 10,Drone,2025-04-07 12:00,2025-04-09 04:00,In-Progress,Snowfall,Yes
MSHN_118,Leh Base,Siachen Post 4,Drone,2025-04-02 17:00,2025-04-03 07:00,Completed,None,Yes
MSHN_119,Drass Base,Siachen Post 2,Truck,2025-04-01 01:00,2025-04-02 07:00,Delayed,Technical,No
MSHN_120,Kargil Base,Siachen Post 1,Truck,2025-04-07 03:00,2025-04-08 01:00,In-Progress,Avalanche,Yes
MSHN_121,Drass Base,Siachen Post 4,Drone,2025-04-05 05:00,2025-04-06 12:00,Completed,None,Yes
MSHN_122,Drass Base,Siachen Post 3,Drone,2025-04-04 00:00,2025-04-04 08:00,Completed,None,Yes
MSHN_123,Kargil Base,Siachen Post 10,Robotic Mule,2025-04-13 03:00,2025-04-14 01:00,Delayed,Snowfall,No
MSHN_124,Drass Base,Siachen Post 5,Robotic Mule,2025-04-09 14:00,2025-04-10 11:00,In-Progress,Technical,No
MSHN_125,Kargil Base,Siachen Post 2,Robotic Mule,2025-04-01 20:00,2025-04-03 03:00,In-Progress,Avalanche,No
MSHN_126,Leh Base,Siachen Post 2,Truck,2025-04-13 06:00,2025-04-14 23:00,Completed,None,No
MSHN_127,Drass Base,Siachen Post 1,Truck,2025-04-11 00:00,2025-04-12 13:00,In-Progress,Avalanche,No
MSHN_128,Leh Base,Siachen Post 10,Drone,2025-04-11 11:00,2025-04-11 20:00,Delayed,Avalanche,No
MSHN_129,Kargil Base,Siachen Post 6,Robotic Mule,2025-04-03 05:00,2025-04-03 19:00,Delayed,Avalanche,No
MSHN_130,Kargil Base,Siachen Post 7,Robotic Mule,2025-04-01 18:00,2025-04-03 03:00,Completed,None,No
MSHN_131,Kargil Base,Siachen Post 6,Truck,2025-04-09 14:00,2025-04-11 02:00,Completed,None,No
MSHN_132,Kargil Base,Siachen Post 1,Truck,2025-04-12 01:00,2025-04-13 04:00,In-Progress,Avalanche,No
MSHN_133,Leh Base,Siachen Post 4,Drone,2025-04-12 17:00,2025-04-13 05:00,Delayed,Avalanche,No
MSHN_134,Leh Base,Siachen Post 1,Robotic Mule,2025-04-06 02:00,2025-04-06 16:00,Delayed,Technical,Yes
MSHN_135,Drass Base,Siachen Post 7,Truck,2025-04-05 19:00,2025-04-06 06:00,Delayed,Snowfall,Yes
MSHN_136,Kargil Base,Siachen Post 5,Robotic Mule,2025-04-06 19:00,2025-04-08 01:00,Delayed,Avalanche,Yes
MSHN_137,Kargil Base,Siachen Post 9,Truck,2025-04-09 04:00,2025-04-09 20:00,In-Progress,Technical,Yes
MSHN_138,Leh Base,Siachen Post 5,Drone,2025-04-08 06:00,2025-04-09 18:00,Delayed,Snowfall,No
MSHN_139,Drass Base,Siachen Post 5,Robotic Mule,2025-04-13 08:00,2025-04-15 06:00,Delayed,Snowfall,No
MSHN_140,Drass Base,Siachen Post 8,Drone,2025-04-08 02:00,2025-04-09 17:00,In-Progress,Avalanche,No
MSHN_141,Kargil Base,Siachen Post 4,Robotic Mule,2025-04-06 02:00,2025-04-07 18:00,Delayed,Snowfall,No
MSHN_142,Leh Base,Siachen Post 6,Robotic Mule,2025-04-11 02:00,2025-04-12 06:00,Delayed,Technical,Yes
MSHN_143,Kargil Base,Siachen Post 1,Truck,2025-04-11 17:00,2025-04-13 10:00,Delayed,Snowfall,No
MSHN_144,Leh Base,Siachen Post 9,Drone,2025-04-01 07:00,2025-04-01 20:00,Delayed,Technical,Yes
MSHN_145,Leh Base,Siachen Post 8,Drone,2025-04-08 05:00,2025-04-10 00:00,In-Progress,Avalanche,Yes
MSHN_146,Kargil Base,Siachen Post 9,Drone,2025-04-07 18:00,2025-04-09 14:00,In-Progress,Avalanche,Yes
MSHN_147,Drass Base,Siachen Post 2,Truck,2025-04-07 03:00,2025-04-07 21:00,In-Progress,Snowfall,No
MSHN_148,Leh Base,Siachen Post 2,Drone,2025-04-04 13:00,2025-04-06 13:00,Delayed,Snowfall,Yes
MSHN_149,Kargil Base,Siachen Post 1,Drone,2025-04-08 15:00,2025-04-09 18:00,Delayed,Snowfall,Yes
MSHN_150,Drass Base,Siachen Post 7,Robotic Mule,2025-04-04 20:00,2025-04-05 10:00,Completed,None,Yes
